date,buy_price,shares_bought,total_amount
2026-05-20,152.91,2,305.82
2026-05-22,153.29,1,153.29
2026-05-25,153.1,1,153.1
2026-05-26,152.28,5,761.4
2026-05-27,151.7,3,455.1
2026-05-29,151.08,2,302.16
2026-06-01,149.71,6,898.26
2026-06-03,150.13,4,600.52
2026-06-05,150.09,4,600.36
2026-06-08,146.09,19,2775.71
2026-06-10,142.1,25,3552.5
2026-06-11,140.55,9,1264.95
2026-06-17,145.43,3,436.29
2026-06-18,143.67,9,1293.03
2026-06-19,140.85,14,1971.9
2026-06-23,139.84,13,1817.92
2026-06-24,138.35,9,1245.15
2026-06-25,134.88,19,2562.72
2026-06-30,136.34,1,136.34
2026-07-01,135.71,4,542.84
2026-07-06,140.44,4,561.76
2026-07-07,139.52,6,837.12
2026-07-08,137.6,11,1513.6
2026-07-13,137.7,7,963.9
2026-07-17,136.3,4,545.2
2026-07-23,139.71,2,279.42
2026-07-24,138.65,6,831.9
2026-07-28,137.55,10,1375.5
2026-07-29,137.33,3,411.99
2026-07-31,137.81,2,275.62
2026-08-04,137.85,1,137.85
2026-08-13,147.86,4,591.44
2026-08-19,148.0,4,592.0
2026-08-25,156.08,1,156.08
2026-08-26,155.5,3,466.5
2026-08-27,153.3,10,1533.0
