date,buy_price,shares_bought,total_amount
2026-05-22,168.9,1,168.9
2026-05-29,170.94,4,683.76
2026-06-01,169.63,4,678.52
2026-06-03,170.83,1,170.83
2026-06-05,171.43,1,171.43
2026-06-08,169.05,8,1352.4
2026-06-10,168.84,8,1350.72
2026-06-11,167.68,4,670.72
2026-06-23,178.51,5,892.55
2026-06-25,178.02,4,712.08
2026-06-29,177.26,3,531.78
2026-07-07,180.17,7,1261.19
2026-07-08,177.2,11,1949.2
2026-07-17,181.52,3,544.56
2026-07-22,180.33,6,1081.98
2026-07-23,178.2,6,1069.2
2026-07-24,177.53,2,355.06
2026-07-28,179.14,3,537.42
2026-07-30,179.9,5,899.5
2026-08-07,184.89,2,369.78
2026-08-10,184.85,1,184.85
2026-08-12,184.44,2,368.88
2026-08-18,184.72,2,369.44
2026-08-19,183.97,3,551.91
2026-08-24,185.18,1,185.18
2026-08-25,185.05,1,185.05
2026-08-27,185.73,2,371.46
2026-09-02,184.42,4,737.68
