date,buy_price,shares_bought,total_amount
2026-05-20,538.0,3,1614.0
2026-05-21,532.9,2,1065.8
2026-05-26,529.18,3,1587.54
2026-05-27,523.0,3,1569.0
2026-05-29,518.71,2,1037.42
2026-06-01,511.99,3,1535.97
2026-06-03,512.35,4,2049.4
2026-06-04,511.75,1,511.75
2026-06-05,501.88,4,2007.52
2026-06-08,489.96,5,2449.8
2026-06-10,485.99,6,2915.94
2026-06-11,481.01,2,962.02
2026-06-18,489.47,2,978.94
2026-06-19,486.3,2,972.6
2026-06-22,479.2,4,1916.8
2026-06-23,464.08,7,3248.56
2026-06-30,468.89,4,1875.56
2026-07-07,481.51,1,481.51
2026-07-08,479.3,2,958.6
2026-07-13,482.94,1,482.94
2026-07-17,480.0,2,960.0
2026-07-22,479.79,2,959.58
2026-07-24,483.99,2,967.98
2026-08-03,496.64,1,496.64
2026-08-04,488.49,4,1953.96
2026-08-06,486.98,2,973.96
2026-08-07,486.54,1,486.54
2026-08-11,486.98,1,486.98
2026-08-12,480.32,2,960.64
2026-08-13,480.0,1,480.0
2026-08-18,481.5,2,963.0
2026-08-19,479.5,1,479.5
2026-08-24,475.0,4,1900.0
2026-08-25,472.6,1,472.6
2026-08-27,473.3,2,946.6
2026-09-01,469.54,1,469.54
2026-09-02,468.06,1,468.06
