date,buy_price,shares_bought,total_amount
2026-05-29,232.77,7,1629.39
2026-06-01,230.28,6,1381.68
2026-06-03,229.83,2,459.66
2026-06-05,229.97,2,459.94
2026-06-08,227.16,6,1362.96
2026-06-10,226.7,6,1360.2
2026-06-11,224.93,3,674.79
2026-06-23,235.67,5,1178.35
2026-06-25,235.15,3,705.45
2026-06-29,234.19,2,468.38
2026-07-03,236.8,1,236.8
2026-07-07,236.98,2,473.96
2026-07-08,232.74,8,1861.92
2026-07-13,239.33,1,239.33
2026-07-16,238.58,1,238.58
2026-07-17,237.75,2,475.5
2026-07-22,237.27,4,949.08
2026-07-23,235.12,4,940.48
2026-07-24,234.6,1,234.6
2026-07-28,236.93,1,236.93
2026-07-30,238.18,2,476.36
