date,buy_price,shares_bought,total_amount
2026-05-29,30.92,57,1762.44
2026-06-01,30.6,38,1162.8
2026-06-03,30.5,10,305.0
2026-06-05,30.52,4,122.08
2026-06-08,30.11,43,1294.73
2026-06-10,30.26,36,1089.36
2026-06-11,30.03,26,780.78
2026-06-23,31.6,28,884.8
2026-06-30,31.47,56,1762.32
2026-07-01,31.36,12,376.32
2026-07-02,31.32,5,156.6
2026-07-03,31.06,24,745.44
2026-07-07,30.89,36,1112.04
2026-07-08,30.5,28,854.0
2026-07-13,31.08,6,186.48
2026-07-16,31.09,5,155.45
2026-07-17,30.71,34,1044.14
2026-07-22,31.07,16,497.12
2026-07-23,30.76,32,984.32
2026-07-24,30.57,19,580.83
2026-07-28,30.56,35,1069.6
2026-07-30,30.64,5,153.2
2026-08-11,31.67,8,253.36
2026-08-13,31.7,15,475.5
2026-08-18,31.63,9,284.67
2026-08-19,31.27,40,1250.8
