date,buy_price,shares_bought,total_amount
2026-05-20,327.09,1,327.09
2026-05-21,325.74,2,651.48
2026-05-25,330.7,2,661.4
2026-05-26,330.34,1,330.34
2026-05-27,328.74,2,657.48
2026-06-01,335.83,1,335.83
2026-06-08,330.51,11,3635.61
2026-06-09,321.98,9,2897.82
2026-06-11,322.78,2,645.56
2026-06-12,318.03,4,1272.12
2026-06-18,331.75,2,663.5
2026-06-19,328.41,4,1313.64
2026-06-23,332.81,3,998.43
2026-06-25,325.82,10,3258.2
2026-06-29,324.22,2,648.44
2026-07-03,332.78,3,998.34
2026-07-06,327.91,5,1639.55
2026-07-07,327.28,1,327.28
2026-07-08,325.98,2,651.96
2026-07-17,332.9,1,332.9
2026-07-24,328.15,1,328.15
2026-07-28,318.46,4,1273.84
2026-07-29,315.36,4,1261.44
2026-07-30,312.19,4,1248.76
2026-07-31,305.18,8,2441.44
2026-08-07,328.99,4,1315.96
2026-08-10,328.08,1,328.08
2026-08-12,331.16,1,331.16
