date,buy_price,shares_bought,total_amount
2026-05-26,270.83,2,541.66
2026-05-29,268.34,4,1073.36
2026-06-01,265.52,4,1062.08
2026-06-03,265.48,1,265.48
2026-06-04,265.52,1,265.52
2026-06-05,265.28,1,265.28
2026-06-08,262.7,4,1050.8
2026-06-10,263.15,2,526.3
2026-06-11,262.72,1,262.72
2026-06-19,273.07,2,546.14
2026-06-23,271.03,4,1084.12
2026-06-29,272.06,2,544.12
2026-06-30,271.81,1,271.81
2026-07-07,277.05,1,277.05
2026-07-08,271.69,8,2173.52
2026-07-22,273.44,3,820.32
2026-07-23,272.06,2,544.12
2026-07-24,271.14,2,542.28
2026-07-28,273.42,1,273.42
2026-08-04,278.8,2,557.6
2026-08-07,279.83,1,279.83
2026-08-11,279.02,2,558.04
2026-08-12,278.32,2,556.64
