date,buy_price,shares_bought,total_amount
2026-05-20,252.66,1,252.66
2026-05-21,251.97,2,503.94
2026-05-26,251.29,8,2010.32
2026-05-27,249.87,3,749.61
2026-05-29,249.38,1,249.38
2026-06-03,246.87,8,1974.96
2026-06-04,246.55,1,246.55
2026-06-05,243.63,5,1218.15
2026-06-08,228.75,27,6176.25
2026-06-10,220.79,22,4857.38
2026-06-17,234.86,3,704.58
2026-06-18,229.94,9,2069.46
2026-06-19,221.49,17,3765.33
2026-06-23,214.95,22,4728.9
2026-06-24,213.41,4,853.64
2026-06-25,206.29,17,3506.93
2026-07-01,211.35,4,845.4
2026-07-06,220.35,2,440.7
2026-07-07,216.29,9,1946.61
2026-07-08,210.16,14,2942.24
2026-07-13,207.45,4,829.8
2026-07-16,206.84,5,1034.2
2026-07-17,204.92,5,1024.6
2026-07-23,211.08,5,1055.4
2026-07-24,210.95,1,210.95
2026-07-28,206.2,16,3299.2
2026-07-30,206.47,1,206.47
2026-07-31,206.45,1,206.45
2026-08-03,206.45,1,206.45
2026-08-13,220.96,10,2209.6
2026-08-18,221.55,5,1107.75
2026-08-19,216.43,11,2380.73
2026-08-24,231.8,3,695.4
2026-08-25,229.0,6,1374.0
2026-08-27,226.49,7,1585.43
2026-09-01,217.7,12,2612.4
